                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    109,                0.95488,                0.94092,                 1.1676,                 0.5935,                0.45909,                0.47657,                0.31456,                 1.2718,                 1.7687,                 1.4613,               0.002872,               0.002872,               0.002872
                    110,                0.95109,                0.93243,                 1.1635,                 0.5974,                 0.4573,                 0.4762,                0.31528,                 1.2714,                 1.7692,                 1.4596,               0.002806,               0.002806,               0.002806
                    111,                0.90956,                0.86551,                 1.1441,                0.59549,                0.46063,                0.47553,                0.31441,                  1.276,                 1.7728,                 1.4647,                0.00274,                0.00274,                0.00274
                    112,                0.92169,                 0.8868,                   1.15,                0.59203,                0.46191,                0.47444,                0.31361,                 1.2802,                 1.7765,                 1.4684,               0.002674,               0.002674,               0.002674
                    113,                0.92328,                0.88948,                 1.1499,                0.58857,                0.46679,                 0.4749,                0.31394,                  1.283,                 1.7756,                 1.4711,               0.002608,               0.002608,               0.002608
                    114,                0.92303,                0.88563,                 1.1481,                0.59925,                0.46213,                0.47594,                0.31401,                  1.285,                 1.7736,                 1.4731,               0.002542,               0.002542,               0.002542
                    115,                 0.9174,                0.88445,                 1.1457,                0.60119,                0.45777,                0.47391,                0.31212,                  1.286,                 1.7765,                 1.4736,               0.002476,               0.002476,               0.002476
                    116,                0.92183,                0.88471,                 1.1463,                0.59045,                0.46146,                0.47196,                0.31017,                  1.289,                 1.7833,                 1.4758,                0.00241,                0.00241,                0.00241
                    117,                0.92081,                0.88364,                  1.145,                0.59512,                0.45678,                0.47117,                0.30967,                 1.2926,                 1.7875,                 1.4786,               0.002344,               0.002344,               0.002344
                    118,                0.91776,                0.87761,                 1.1429,                0.60298,                0.45069,                0.46917,                0.30797,                 1.2924,                 1.7915,                 1.4781,               0.002278,               0.002278,               0.002278
                    119,                0.91396,                0.87069,                  1.139,                0.60979,                0.44319,                0.46807,                0.30811,                 1.2937,                  1.794,                 1.4778,               0.002212,               0.002212,               0.002212
                    120,                 0.9136,                0.87181,                 1.1392,                0.61592,                0.44473,                0.46892,                0.30667,                 1.2964,                 1.7977,                 1.4797,               0.002146,               0.002146,               0.002146
                    121,                 0.9105,                0.86321,                 1.1357,                0.62721,                0.43755,                0.46721,                 0.3053,                 1.2965,                 1.8042,                  1.478,                0.00208,                0.00208,                0.00208
                    122,                0.90699,                0.85742,                 1.1341,                0.61521,                0.44422,                0.46641,                0.30463,                 1.2974,                 1.8092,                 1.4771,               0.002014,               0.002014,               0.002014
                    123,                0.90134,                 0.8518,                  1.131,                0.60985,                0.44345,                  0.465,                0.30394,                 1.2975,                 1.8147,                 1.4765,               0.001948,               0.001948,               0.001948
                    124,                0.89927,                0.84726,                 1.1285,                0.60752,                0.44067,                0.46433,                0.30332,                 1.2985,                 1.8177,                 1.4769,               0.001882,               0.001882,               0.001882
                    125,                0.89684,                0.84369,                 1.1258,                0.60865,                0.44555,                0.46443,                0.30336,                 1.2961,                 1.8236,                 1.4748,               0.001816,               0.001816,               0.001816
                    126,                0.89221,                0.83842,                 1.1234,                 0.6083,                0.44447,                0.46403,                0.30341,                 1.2944,                 1.8267,                 1.4738,                0.00175,                0.00175,                0.00175
                    127,                0.88947,                0.83104,                   1.12,                0.61009,                0.44191,                 0.4631,                0.30286,                 1.2948,                 1.8353,                 1.4733,               0.001684,               0.001684,               0.001684
                    128,                0.88414,                0.82373,                  1.117,                0.60632,                0.44037,                0.46205,                0.30301,                 1.2958,                 1.8374,                 1.4738,               0.001618,               0.001618,               0.001618
                    129,                0.88442,                0.82299,                 1.1165,                0.60508,                0.44191,                0.46302,                0.30376,                 1.2947,                  1.838,                 1.4725,               0.001552,               0.001552,               0.001552
                    130,                0.87928,                0.81276,                 1.1139,                0.61487,                0.43268,                  0.462,                0.30359,                 1.2949,                  1.845,                  1.472,               0.001486,               0.001486,               0.001486
                    131,                0.87369,                0.80983,                 1.1096,                 0.6272,                0.42908,                0.46312,                0.30386,                 1.2963,                 1.8489,                 1.4731,                0.00142,                0.00142,                0.00142
                    132,                0.87255,                0.80554,                 1.1086,                0.61295,                 0.4337,                0.46053,                0.30322,                 1.2986,                 1.8533,                 1.4744,               0.001354,               0.001354,               0.001354
                    133,                0.86811,                0.79426,                 1.1053,                0.60933,                0.43242,                0.46056,                0.30314,                 1.2999,                 1.8566,                 1.4751,               0.001288,               0.001288,               0.001288
                    134,                0.86398,                0.78904,                 1.1033,                0.59722,                0.43696,                0.45966,                0.30259,                 1.3022,                 1.8603,                 1.4762,               0.001222,               0.001222,               0.001222
                    135,                0.86317,                0.78282,                 1.1012,                0.60431,                0.43439,                0.45945,                0.30211,                 1.3034,                 1.8691,                 1.4771,               0.001156,               0.001156,               0.001156
                    136,                0.85693,                0.77534,                 1.0953,                0.59817,                0.43755,                0.45759,                0.30059,                  1.304,                 1.8757,                 1.4774,                0.00109,                0.00109,                0.00109
                    137,                0.85129,                0.76686,                 1.0924,                 0.6051,                 0.4296,                0.45562,                 0.2992,                 1.3045,                 1.8825,                 1.4774,               0.001024,               0.001024,               0.001024
